Epoch,Loss,Accuracy,Time (s)
1,2.674442786550374,20.693078897660676,188.05445551872253
2,2.094420651164217,34.6212524822008,94.72580337524414
3,1.8069348654510806,43.88288855523805,93.3478786945343
4,1.5991440539020503,49.49145154259699,77.14175343513489
5,1.3954799035016228,56.09410568121277,66.45366644859314
6,1.0541897568355774,68.75090812224536,48.304383277893066
7,0.8711212050434974,75.1089746694435,74.2968442440033
8,0.7667289258156768,78.63006732212912,43.20371079444885
9,0.6772059266781291,82.22865307308568,72.65551662445068
10,0.6022621861921376,84.81861771685959,41.54972743988037
11,0.538175422432991,86.8407032498668,59.17961502075195
12,0.4828440147933576,88.49469656608709,69.04892349243164
13,0.4332320272645714,89.9706979222163,45.55819630622864
14,0.3877615645389439,91.22148496149562,48.07074952125549
15,0.3494567368929231,92.2567443212089,64.15571427345276
16,0.31812196107287155,93.16728822589238,31.164551734924316
17,0.28640279019303366,93.82597956119533,40.08298873901367
18,0.2668032818026956,94.29941395844432,27.35725998878479
19,0.24095819848978853,94.93631035985858,36.199631214141846
20,0.21698125607504196,95.58410422821717,32.57169771194458
21,0.20039407803962475,95.94493146704122,30.01617121696472
22,0.18515888127518512,96.26216883808786,25.795197010040283
23,0.16872856212381976,96.68717004891752,17.416971921920776
24,0.15595933591987327,97.02014820555044,16.07069754600525
25,0.14752127756090724,97.21388095122778,23.661814212799072
26,0.13418046647434817,97.57349736039134,26.349888563156128
27,0.12345317944930434,97.85925316026541,19.549985647201538
28,0.11365710493557778,98.11715987794837,28.08558440208435
29,0.10485174883468416,98.30604930498377,20.92210865020752
30,0.09679679460131531,98.49493873201918,25.43544626235962
31,0.09099093037470021,98.66687654380782,19.115097284317017
32,0.08207940409427088,98.91267496488594,13.702401399612427
33,0.0765248931679102,99.02043880466896,13.672668695449829
34,0.0743025127717585,99.10156439192134,13.438446521759033
35,0.06959925157424558,99.14031094105681,13.44950270652771
36,0.06041308492710439,99.36189276892527,13.422812223434448
37,0.05512640411870398,99.4829757349736,13.462563276290894
38,0.05367839873275336,99.4975056908994,17.89240312576294
39,0.05507146166032036,99.46481329006636,17.03213381767273
40,0.04658862380397394,99.636751101855,15.950074911117554
41,0.04102804107395442,99.70819005182351,16.00830888748169
42,0.03836205926934263,99.77720734247106,15.856756210327148
43,0.03413375909079801,99.8183755509275,17.818403482437134
44,0.03853889319169171,99.67186516200901,24.59981942176819
45,0.030611039528582858,99.86438707802586,15.136834859848022
46,0.030549967830176047,99.83532716617427,13.633968591690063
47,0.03149748810685179,99.79173729839687,13.827882766723633
48,0.024314248928621458,99.9128202644452,14.898861646652222
49,0.02261910120590414,99.91524192376616,18.486336708068848
50,0.02857985167876578,99.78689397975492,20.412481546401978
