Epoch,Loss,Accuracy,Time (s)
1,2.880929931767585,21.660531796386884,78.77493476867676
2,2.3744073822033296,28.828643386448395,79.0986258983612
3,2.0247233026536993,36.95209957863128,75.8855049610138
4,1.7692425417088133,42.75318448200707,72.66101956367493
5,1.619680948855338,47.452414394343,72.72489428520203
6,1.5029976452836311,50.67322129122875,72.90604639053345
7,1.3395569931611926,56.6595631326585,72.3069896697998
8,1.2180212276638847,60.20850486753523,72.75889253616333
9,1.11763687962349,63.88700537608369,72.53440141677856
10,1.0080877882961887,66.47091587155519,72.2768988609314
11,0.9132748354145617,69.11052453140893,72.4090461730957
12,0.8482944595370868,71.1350317237371,72.51389741897583
13,0.7873462939594552,72.8677289678888,78.8879189491272
14,0.724386055218546,75.38988715067565,74.36380648612976
15,0.6653477817589284,78.24986680873735,74.40478539466858
16,0.6151902285799522,80.49474499927351,74.81151175498962
17,0.5523358661416146,82.63307017968712,75.46258354187012
18,0.5506720951420973,82.83648956264832,76.36021900177002
19,0.5046301159788581,84.69511309149028,75.53225135803223
20,0.46341834777833507,86.0124957620962,74.50174522399902
21,0.4255105752970781,87.34077589964643,75.39177227020264
22,0.409362224833146,87.8093669782535,74.68192529678345
23,0.38968346060337294,88.37724608902019,74.3562970161438
24,0.37218224572092756,88.937860221824,74.49658989906311
25,0.35561107768570493,89.42098125635685,75.8689546585083
26,0.3430652858303058,89.72247784181721,74.39161109924316
27,0.3316830509679605,90.01065530101225,77.26693320274353
28,0.3220744586719817,90.41022908897176,77.49755930900574
29,0.3092623738450901,90.71899065239502,78.24894165992737
30,0.3013057915880215,90.9962706446457,78.2039098739624
31,0.2939227957612959,91.17426260473677,77.33712983131409
32,0.28414260740204494,91.44669927834552,76.76599359512329
33,0.2765776714419617,91.70702765534945,78.46731734275818
34,0.2762221710485386,91.70218433670752,73.48096299171448
35,0.2628284163034922,92.09812563568558,72.12626719474792
36,0.2569515943388821,92.2058894754686,73.81120920181274
37,0.25276610276001527,92.40325471012738,78.17752766609192
38,0.24605706618989215,92.53765680244103,81.95480585098267
39,0.24285529778791656,92.63331234561922,80.56361651420593
40,0.23606562065450767,92.85731583280864,82.53379392623901
41,0.23303609605497988,92.9178573158328,78.595144033432
42,0.22848640841319465,93.00019373274567,75.27190804481506
43,0.22527996682484083,93.20845643434882,75.37973165512085
44,0.22144931517887412,93.26899791737299,75.9085111618042
45,0.22757649635636584,93.09463844626337,75.19237875938416
46,0.2199624757118085,93.37070760885359,75.69861483573914
47,0.21463175052805766,93.5305371240374,75.23038792610168
48,0.20996248920451008,93.65283091974621,75.57076573371887
49,0.20861964012516357,93.69520995786313,75.4593915939331
50,0.21283322799916238,93.46273066305032,76.31115698814392
